2.442569618903201456e-01,7.553361147075665638e-02,3.707643978438147914e-02,2.967074231327080508e-02,3.572900635977117184e-02
4.200577648200554681e-01,9.128483966921249748e-02,6.523032867229802689e-02,3.080979455539907194e-02,4.916159406874012067e-02
4.498235202541822075e-01,1.069031029993957743e-01,7.310878241834507796e-02,7.116737105096433702e-02,5.117092553232861080e-02
4.512724457088585495e-01,1.113510635941523247e-01,8.951072976099277989e-02,7.255958033756537695e-02,5.557507888417081293e-02
4.727024382706945249e-01,1.536910761064110564e-01,9.550948007077478263e-02,8.667411446366438121e-02,5.567048175070916927e-02
4.778053289724228381e-01,1.702460663926931295e-01,9.846157142627222358e-02,9.047033931100320614e-02,6.225738531026583922e-02
4.781798254196254483e-01,1.708635185940835799e-01,1.201430410813707772e-01,1.033468428653024629e-01,6.347871340725977363e-02
4.851827656911614217e-01,1.725659353471229174e-01,1.281891553816770224e-01,1.174151421092172187e-01,7.225937560531790760e-02
4.903884952703146949e-01,1.882333224088970913e-01,1.291489585465254442e-01,1.297180910125115827e-01,7.866897278041816433e-02
5.044133236087692262e-01,1.914003037127267604e-01,1.482513288776776961e-01,1.321585934896605807e-01,8.080357468580533220e-02
5.163545158933759982e-01,1.951323927908548417e-01,1.587122740648098107e-01,1.417936036811008049e-01,8.279208070284553578e-02
5.175159327865191949e-01,1.963325400958116085e-01,1.672405233791509904e-01,1.468219566501806073e-01,8.905464127611099900e-02
5.350272745036573907e-01,1.984972223779219169e-01,1.691834003498131345e-01,1.478331088102412261e-01,9.515483443011928111e-02
5.546921416446907172e-01,2.002040025809293244e-01,1.702545899282714159e-01,1.490544108269120371e-01,1.158195416413006079e-01
5.690475865735008520e-01,2.145626077006713983e-01,1.735684107766175266e-01,1.527837690646233759e-01,1.238190813878284058e-01
5.778788854506100581e-01,2.153556497477666087e-01,1.781482396601143381e-01,1.614724253916320074e-01,1.263871301383770740e-01
5.916910370451282652e-01,2.162170754339091949e-01,1.801805768348078707e-01,1.615384848651715832e-01,1.282344993284101342e-01
5.921931540012712603e-01,2.350258033921411860e-01,1.809772549843746137e-01,1.626435912662296812e-01,1.309519473599782546e-01
5.974305655231111345e-01,2.442569618903201456e-01,1.877703953771691081e-01,1.663063115013307669e-01,1.386756288943094828e-01
5.978415311952274269e-01,2.462638405478670411e-01,1.937187441316111647e-01,1.684759181313770504e-01,1.404917572706294027e-01
5.998748662476224291e-01,2.527476374386244951e-01,1.941383327579973839e-01,1.702614801434245706e-01,1.428060106864848799e-01
6.022754403655011801e-01,2.560019639178089945e-01,1.973034075005205834e-01,1.718072438161350191e-01,1.462500507473555034e-01
