0.000000000000000000e+00,0.000000000000000000e+00,5.838628775234008250e-01,1.410319773365360622e-02,1.583332918435055234e-02,2.365975096853654702e-01,1.277958932098279266e-01
2.547670148338650967e-03,2.035687992540175049e-03,2.649778933002254200e-01,4.735995435667737785e-03,6.402761086378097252e-03,2.654966335278289291e-01,1.203187444930736705e-01
6.392764612818369399e-03,5.476070938194413200e-03,2.536740340938303806e-01,2.279066598224250249e-03,4.332804609928766343e-03,3.054212023824208755e-01,1.342588431271465321e-01
1.082291903224979687e-02,9.415745344318594140e-03,2.514926600569630799e-01,4.287301039851227659e-03,6.606602172328366468e-03,3.160343254070879793e-01,1.545344145861559659e-01
1.112876797836834762e-02,9.661004708412371245e-03,2.307410041557062252e-01,7.013741545296148933e-03,1.037012005426437601e-02,3.236941370066724333e-01,1.844973206899122586e-01
1.108229808161207731e-02,9.586358600914805447e-03,2.462036590447141682e-01,1.028348794772790571e-02,1.397964762206880748e-02,3.192832700283138592e-01,2.015943514039582884e-01
1.115169397254217078e-02,9.652947859858269919e-03,2.113562588834132783e-01,1.317892033200479887e-02,1.642479833962935329e-02,3.113927046385875363e-01,2.072683386969452479e-01
1.043150247932770475e-02,9.242547560814004873e-03,2.707553973391070845e-01,1.471813814336716403e-02,1.706632816732299440e-02,2.607503378845339448e-01,2.291241362489171152e-01
9.982315539405295021e-03,8.764597797129855886e-03,2.775338239345805369e-01,1.435080212995566880e-02,1.681880378391342051e-02,2.588562356964945188e-01,2.750287176438415693e-01
5.616004311537417353e-03,4.933132672830820367e-03,3.605397742102777747e-01,2.018077582293459696e-02,2.755842031327112793e-02,2.957675994435958744e-01,2.954671643844902773e-01
2.896319750801050735e-03,2.541462095038167415e-03,3.662084638244917922e-01,7.317927187131480216e-02,9.263531584543305275e-02,3.074986979442464463e-01,2.936573303373435917e-01
7.712505063054686180e-03,8.138517087940101008e-03,3.535303465149247093e-01,1.670404497180989489e-01,1.735834899028635137e-01,2.946820211074934748e-01,3.097637934626825129e-01
2.634774307536811092e-02,2.427911745718058442e-02,1.976615074967424390e-01,2.741692572091726232e-01,2.536062621295294695e-01,2.806396598288283251e-01,3.323124755098421645e-01
3.370942333469983954e-02,3.120667940060145584e-02,2.028003529136049032e-01,3.730332487785778528e-01,3.250810233279831651e-01,2.610633678579742933e-01,3.772486025221415962e-01
3.221749996733561106e-02,2.979576263884918877e-02,1.654520273381687723e-01,4.608300368502085131e-01,3.773273564687289472e-01,2.174348315062759329e-01,4.046304300975001045e-01
3.234638048384790715e-02,2.982502508101649713e-02,1.197762130036213457e-01,5.496652485065502969e-01,4.288737653650550596e-01,1.408506295135677211e-01,4.398561394940156966e-01
3.362019728034781885e-02,3.113123281519863256e-02,1.553669065675455374e-01,6.189677835316030885e-01,4.526372048624243138e-01,4.026131207063606693e-02,4.725270683061324473e-01
3.603251259955564390e-02,3.320231961863994580e-02,1.057820435124543351e-01,6.279230737678840324e-01,4.341389557958008627e-01,1.740639552924107616e-02,4.794936252695389811e-01
2.595867421149762599e-02,2.413561291248390167e-02,1.839183598583059853e-01,5.944636964841918392e-01,3.894387337738692278e-01,7.559761031517812577e-03,4.654656231629238916e-01
1.190039407054741850e-02,1.131672731829244660e-02,1.964038283648253391e-01,5.628470527483645514e-01,3.513688114876379887e-01,2.545916512875110935e-03,4.466901131580806594e-01
1.266395892208820213e-02,1.174084273755744527e-02,1.717621066427180709e-01,5.557557425247522387e-01,3.464364586127032242e-01,2.135872438767874928e-03,4.183525377289686320e-01
